year,price,mileage
2015,11.999,114.976
2019,21.75,28.159
2014,6.998,188.835
2019,17.984,84.31
2019,18.5,64.659
2019,15.819,95.004
2020,19.999,55.175
2019,25.697,33.123
2016,10.697,155.72
2019,20.5,53
2020,25.999,28.306
2015,9.8,121.56
2020,24.9,61.301
2019,21.999,43.601
2017,17.39,52.51
2020,27.05,66.058
2020,16.695,87.96
2021,24.99,85.042
2016,14.998,76.962
2021,21.84,52.792
2020,24.764,40.159
2014,8.445,137.003
2020,23.489,28.776
2019,22.7,58.014
2020,18.996,54.201
2021,18.422,76.561
2019,19.987,42.912
2014,15.373,90.003
2019,20.999,40.939
2023,29.95,6.7
2019,14.877,133.155
2017,13.79,81.344
2021,27.521,23.449
2020,19.991,56.589
2021,19.565,62.627
2022,29.99,50.781
2020,24.997,39.439
2021,19.6,64.474
2017,13.793,109.339
2017,15.994,97.03
2021,23.556,29.737
2020,22.589,35.729
2016,12.971,98.123
2016,15.99,88.022
2017,19.495,63.487
2021,19.611,62.566
2020,24.589,27.094
2021,22.971,67.25
2020,22.639,29.753
2017,8.999,146.991
2019,19.99,76.87
2015,14.498,112.552
2021,22.597,61.366
2021,21.591,72.021
2019,18.998,69.764
2021,26.997,44.632
2022,29.999,46.116
2022,33.2,17.377
2021,23.95,32.571
2015,13.999,135.513
2021,27.95,38.483
2017,19.253,61.94
2022,25.749,63.488
2019,10.995,130.248
2018,18.095,90.773
2022,29.973,23.657
2021,26.415,18.297
2019,19.708,46.056
2021,23.3,47.397
2020,20.5,36.014
2020,18.889,88.027
2020,27.195,24.19
2018,17.695,75.269
2021,23.432,42.083
2018,14.499,109.676
2021,20,46.762
2020,16.991,110.294
2016,13.998,121.046
2017,18.229,41.238
2022,27.793,20.568
2014,13.987,94.365
2021,26.251,28.101
2017,15.9,99.989
2022,31.999,5.561
2021,23.5,45.147
2018,19.849,65.008
2015,11.995,118.654
2021,22.275,42.174
2021,26.484,32.575
2019,16.5,85.537
2023,32.077,7.716
2021,24.888,21.44
2016,12.495,98.843
2021,26.898,21.543
2022,29.49,6.036
2019,17.5,94.848
2016,11.3,104.497
2019,22.999,46.047
2022,27.465,18.201
2019,18.999,84.865
2022,25.95,18.154
2021,26.879,16.336
2014,12.468,125.365
2019,19.462,68.463
2017,13.977,99.088
2021,22.895,20.421
2017,16.696,72.397
2017,22.489,54.342
2019,20.577,45.282
2019,12.897,126.726
2021,30.459,19.694
2019,13.995,98.324
2021,18.919,57.402
2021,23.589,24.922
2021,21.618,54.253
2021,23.289,35.687
2020,18.999,81.257
2019,15.5,105.524
2019,22.095,83.899
2016,8.999,150.954
2019,21.994,0
2019,15.999,87.186
2019,17.271,92.803
2014,11.35,126.569
2022,27.998,50.298
2017,16.793,48.527
2022,26.2,26.201
2018,16.474,89.362
2016,9.995,147.57
2021,24.948,28.093
2023,29,11.194
2019,22.7,78.786
2021,18.9,50.44
2021,20.69,82.032
2019,20.99,87.844
2020,22.626,67.052
2022,27.5,33.576
2016,12.495,114.348
2019,14.5,117.245
2022,25.781,58.764
2021,23.726,56.323
2021,29.468,47.877
2020,21.798,62.663
2023,31.741,7.181
2016,14.4,81.294
2016,11.45,90.869
2016,13.995,88.831
2019,18.745,70.17
2022,27.378,37.086
2019,21.977,71.911
2019,16.233,115.301
2016,15.768,61.399
2023,31.4,7.796
2019,24.695,33.9
2019,18.541,45.875
2023,32.359,8.23
2019,24.778,64.68
2020,21.988,90.03
2020,22.998,75.021
2019,18.169,78.807
2019,20.992,44.4
2023,29,10.279
2020,17.599,80.545
2019,19.25,75.825
2017,8.997,168.085
2014,10.99,124.185
2021,23.965,35.046
2022,23.5,26.288
2019,18.148,55.809
2019,19.53,59.82
2016,12.99,97.456
2017,14.3,110.238
2015,13.995,110.484
2014,13.9,104
2021,21.169,27.234
2021,21.589,33.954
2019,19.991,60.945
2017,18.99,70.892
2017,16.995,100.111
2021,27.568,19.543
2021,25,29.474
2021,21,48.234
2019,20.647,83.777
2020,17.471,123.074
2019,14.999,100.943
2021,25.5,47.2
2021,24.987,23.137
2020,19.471,106.255
2021,22.983,31.113
2021,21.954,66.171
2019,20.435,52.845
2019,18.169,64.136
2018,18.2,84.19
2015,12.988,96.699
