year,price,mileage
2022,32.997,9.56
2014,22.5,55.143
2020,36.95,36.598
2019,32.608,55.329
2019,36.997,46.445
2023,34.999,15.564
2023,44.638,9.106
2022,59.3,22.04
2021,40.94,22.282
2022,52.995,20.907
2023,56.999,0.258
2021,34.5,63.9
2021,45.999,13.603
2020,34.398,28.754
2021,39.4,61.417
2010,16.5,128
2020,44.77,29.91
2018,32.072,24.591
2022,45.999,5.553
2011,14.5,81.876
2021,45.499,37.062
2017,39.597,54.076
2017,24.25,84.3
2019,28.999,102.381
2021,68.906,15.994
2022,44.75,28.473
2021,39.898,44.78
2023,42.988,6.817
2018,52.9,50.278
2021,57.565,23.799
2022,32.721,57.478
2022,73.997,21.259
2020,43.333,52.782
2021,42.9,43.391
2023,32.962,46.085
2023,44.95,2.817
2020,44.873,41.11
2023,62.988,1.084
2020,35.7,51.315
2023,45.488,4.117
2022,61.988,6.326
2018,31,90.514
2023,53.999,9.649
2013,14.96,170.431
2022,37.789,16.712
2023,38.999,5.902
2023,47.5,1.11
2021,50.999,44.181
2021,35.931,50.608
2021,53.949,21.97
2021,49.9,32.115
2020,38.979,42.296
2018,31.985,45.925
2023,40.939,16.329
2023,63.7,1.265
2021,57.5,20.3
2020,39.8,97.967
2018,19.35,125
2021,43.261,34.299
2022,55.412,35.35
2018,34.988,88.306
2022,75.999,27.812
2019,29.999,58.837
2015,17.495,99.623
2023,80.41,2.253
2023,41.799,4.982
2018,23.545,21.574
2016,28.998,94.175
2009,9.995,186.271
2022,44.5,26.598
2018,44.479,78.007
2018,38.999,86.5
2020,33.164,58.86
2017,18.772,63.666
2021,52.988,38.984
2022,43.849,19.779
2020,39.995,28.203
2022,30.999,24.26
2023,44.93,10.858
2021,38.898,44.144
2022,46.995,2.519
2023,49.54,12.414
2019,30.795,86.9
2018,46.99,61.102
2023,40.352,4.362
2021,41.991,22.821
2021,37.7,50.753
2022,49.5,19.753
2022,48.999,42.394
2021,39.977,40.273
2021,55.989,33.056
2019,30.998,63.36
2022,52.24,12.401
2017,29.991,54.627
2022,45.998,10.887
2018,29.875,19.851
2020,28.999,73.401
2019,26.885,57.112
2013,18.09,97.741
2023,54.999,4.202
2023,67.2,7.531
2021,45.9,31.544
2021,58.997,27.692
2021,48.352,22.512
2022,58.988,29.971
2023,53,13.22
2021,37.486,26.695
2021,38.08,45.896
2021,55.99,22.598
2023,45,4.25
2022,30.495,27.218
2020,35.762,41.699
2020,35.999,38.23
2023,74.988,23.096
2023,51.999,11.316
2022,65,15.557
2021,38.15,57.481
2022,45.58,12.901
2023,41.5,1.037
2019,48.697,78.613
2020,35.92,79.34
2021,50.698,19.266
2019,32,75
2021,36.988,60.546
2020,28.535,55.787
2020,33.891,55.386
2021,38.289,23.104
2019,59.864,25.523
2018,31.599,67.941
2023,77.988,10.753
2021,41.25,29.387
2020,31.999,57.82
2011,13.288,168.271
2022,53.996,8.431
2021,38.456,35.744
2023,37.7,14.332
2019,42.932,49.942
2019,31.5,63.065
2023,46.9,3.084
2021,33.45,29.779
2022,43.95,18.426
2020,32,55.801
2016,23.477,57.124
2022,45.999,11.386
2015,16.995,130.097
2021,30.999,31.521
2021,45.9,35.9
2022,70.5,9.035
2016,26.999,94.168
2019,27.297,84.892
2017,21.495,143.51
2021,42.304,43.241
2020,29.279,62.012
2021,46.21,41.217
2021,38.4,29.333
2021,46.999,68.828
2016,19,172.903
2017,25.989,79.697
2017,24.03,95.34
2021,37.989,39.254
2020,43.7,31.067
2021,55.999,28.358
2020,33.128,45.459
2022,48.21,24.625
2022,59.187,16.482
2021,55.79,19.98
2023,45.997,4.833
2022,49.389,29.92
2023,58.999,7.658
2019,41.999,52.305
2017,39,116
2018,30.209,77.589
2013,14.99,124.789
2019,25.685,76.051
2023,40.7,0.768
2021,34.985,33.177
2021,44.598,35.206
2018,27.188,71.168
2019,35.5,47.833
2017,36.999,77.771
2013,17.477,98.375
2022,44.989,16.166
2021,37.998,40.501
2018,36.5,59.853
2021,54.891,28.18
2020,38.497,73.016
2023,54.677,31.137
2020,31.9,47.668
2019,36.999,44.652
2022,31.289,13.633
2016,30.5,109.062
2018,30,106.984
2023,54.999,8.607
2021,29.5,70.652
2022,45.877,23.898
2023,46.999,6.922
2021,42.401,15.766
2022,39.9,22.638
2016,26.425,84.325
2018,39.188,58.071
2021,42.999,39.262
2022,50.999,20.916
2022,74.437,35.758
2019,29.5,76.545
2014,8.9,148
2016,21.612,149.724
2020,45.497,16.204
2021,45.5,54.725
2020,35.433,25.051
2015,18.497,132.192
2021,48.5,27.318
2023,74.5,2.5
2022,44.999,19.872
2021,40.199,41.824
2018,27,109.732
2020,25.7,59.551
2005,9.99,151
2018,36.434,30.759
2021,34.5,66.896
2016,22.758,118.62
2021,32,66.351
2023,54.045,11.546
1996,30,155
2017,25,55.256
2022,42.7,25.666
2022,52.213,8.151
2020,36.891,20.795
2019,26.378,76.794
2020,38.828,20.412
2018,30.988,75.112
2021,38.627,43.887
2002,12.499,229.75
2021,69.48,31.231
2023,47.7,6.358
2020,28.988,40.547
2018,26.919,71.729
2023,81.868,6.21
2023,44.479,18.101
2022,44.999,6.279
2019,36.481,26.327
2022,53.999,15.304
2023,53,5.696
2019,55.9,71.47
2020,38.65,25.356
2022,43.999,20.13
2022,64,11.263
2023,42.831,10.527
2021,32.999,63.278
2021,45.499,60.349
2020,62.897,24.86
2021,38.189,33.484
2015,29.977,85.89
2014,14,197.621
2023,54.763,3.581
2022,47.997,29.291
2023,43,14.072
2018,31.774,42
2021,38.5,29.628
2021,37.499,43.502
2022,46.987,20.434
2023,66,3.525
2021,30.999,70.425
2021,49.999,50.158
2022,51.999,17.313
2020,36.499,36.311
2023,51.118,7.468
2020,27.195,45.597
2023,46.475,14.25
2021,43.788,29.103
2016,28.5,88.744
2021,33.5,28.923
2021,41.991,28.473
2020,38.2,31.928
2021,38,32.37
2021,31.884,60.636
2023,61.988,24.071
2022,44.999,10.859
2016,32,57.405
2022,53.999,18.831
2021,40.949,34.792
2020,34.761,33.042
2019,55.999,40.056
2022,50.998,6.562
2020,39.497,68.933
2022,43,46.942
2022,61.28,21.74
2023,64.823,11.315
2021,37.995,18.242
2021,45.999,34.311
2021,51.9,19.9
2022,99.999,11
2020,31.988,68.211
2020,31.579,49.141
2021,27.999,66.409
2011,7.991,199.521
2022,46.8,17.1
2018,31.5,55.405
2020,28.025,71.418
2022,75.997,10.601
2019,23.635,109.371
