year,price,mileage
2015,13.975,70.07
2019,17.874,85.994
2021,25,43.189
2002,3.65,212.602
2013,9.999,110.469
2019,21.689,28.218
2022,21.852,28.605
2021,21.988,24.872
2021,22,67.699
2020,21.2,60.286
2024,24.699,1.84
2021,22.189,39.266
2009,7.302,150
2020,19.784,50.585
2012,8.995,116.042
2021,20.901,70.852
2023,28.486,9.572
2019,20.578,17.45
2024,27.988,1.22
2018,18.94,69.04
2022,26.3,28.96
2012,8.5,140.471
2021,24.764,21.055
2014,15.9,32.675
2023,24.861,11.921
2018,17.193,101.763
2019,24.529,47.456
2022,26.489,46.913
2022,19.7,60.568
2023,50,11.4
2022,29.082,31.943
2022,23.695,41.831
2008,9.994,124.044
2010,7.999,126.26
2024,26.99,11.206
2019,18.4,91.322
2022,21.999,47.259
2021,24,51.013
2023,29.995,10.512
2021,20.8,41.259
2018,12.9,155.074
2018,18.588,96.039
2016,14.997,87.872
2020,18.852,66.809
2022,26.898,33.997
2022,23.688,25.053
2013,9.495,141.183
2019,20.337,52.158
2024,26.988,8.555
2021,21.348,30.409
2023,26.162,4.886
2020,20.265,50.123
2019,19.355,74.536
2021,20.65,29.388
2017,19.999,82.079
2020,19.997,125.545
2013,7.968,161.346
2018,16.798,84.014
2023,27.9,7.38
2019,19.457,78.736
2022,22.776,24.637
2020,24.588,42.929
2019,17.6,77.871
2021,25,30.783
2012,12.846,133.914
2016,15.5,94.272
2007,11.88,52.954
2019,20.075,56.311
2021,22.988,23.732
2022,27.788,16.385
2021,24.997,16.162
2005,4.5,277
2017,16.202,87.936
2019,18.336,76.664
2020,22,54.602
2021,19.5,70.815
2020,21.461,74.791
2021,23.998,28.845
2020,19.994,38.313
2021,21.878,33.392
2016,12.995,111.623
2018,19.6,48.725
2021,23.964,58.291
2018,22,71.549
2019,34.4,64.971
2020,26.99,39.534
2014,13.995,104.57
2023,26.2,9.796
2018,14.999,108.678
2013,7.25,200.051
2021,22.999,36.217
2022,27.5,31.861
2019,16.25,40.123
2022,23.5,52.218
2013,10.495,124.984
2022,24.151,55.606
2020,25.65,22.541
2022,26.542,35.522
2019,18.999,52.581
2021,24.702,16.488
2018,35,51
2020,21.46,42.578
2011,7.999,147.474
2017,15.9,67.123
2013,10.991,87.73
2015,16.49,81.753
2021,21,37.266
2023,26.4,1.509
2022,27.997,21.982
2017,15.999,125.741
2013,9.999,123.925
2014,16.913,28.168
2020,18.977,66.979
2021,26,16.225
2018,19.998,74.915
2018,13.5,130.743
2020,20.863,26.562
2018,19.7,52.151
2016,14.94,94.416
2020,22.8,40.36
2023,26.499,14.362
2012,9.5,134.184
2020,19.933,60.923
2019,14.344,176.727
2020,23.395,29.515
2019,15.977,83.346
2020,20.988,42.901
2018,15.999,94.25
2021,18.5,136.436
2017,17.999,81.492
2021,24.378,13.498
2016,14.269,112.904
2019,16.195,127.349
2020,22.89,37.591
2021,24.788,38.222
2021,23.689,52.513
2003,4.995,98.95
2020,23.463,29.988
2012,8.39,148.184
2023,29.672,3.657
2020,22.5,61.513
2017,17.5,97.848
2019,20.2,98
2018,18.426,80.507
2023,26.389,12.421
2018,22.249,42.265
2022,24.987,20.88
2020,19.991,45.144
2021,19.3,70.052
2020,20.216,24.043
2019,17.8,37.4
2022,21.999,42.01
2018,19.817,46.989
2012,10.5,93.98
2023,25.747,11.175
2022,26.541,22.299
2020,21.591,49.193
2022,22.5,58.407
2021,38.988,25.133
2022,23.824,32.11
2019,21.535,39.641
2012,12.995,138.811
2017,19.946,73.804
2022,24.999,31.878
2023,29.784,16.766
2020,22.978,19.963
2022,23.997,27.367
2021,23.494,4.828
2020,18.971,107.268
2013,7.997,196.591
2022,22.232,51.187
2020,19.7,35.781
2023,46.999,0.83
2015,13.998,94.849
2020,16.76,83.222
2021,23.767,48.332
2024,27.27,4.425
2018,22,46.5
2020,20.085,40.564
2021,21.363,72.97
2007,6.441,94.557
2014,14.402,90.898
2022,25.459,21.699
2024,31.5,3.5
2012,7.999,132.099
2021,26,19.22
2021,19,43.112
2021,20.791,48.306
2022,19.997,70.638
2023,26.308,9.218
2023,26,10.516
2022,22.67,31.236
2014,13.49,112.059
2019,21.99,13.468
2019,15.8,77.59
2010,4.9,197.504
2019,16.197,76.755
2015,12.35,100.113
2012,8.999,115.56
2018,14.961,135.86
2015,13.203,127.68
2019,19.449,61.402
2022,23.5,36.65
2023,29.483,12.631
2018,19.075,25.067
2018,15.946,119.125
2016,10,200.989
2018,20.9,31.615
2018,17.999,45.813
2021,24.996,22.316
2019,21.95,29.361
2019,21.994,61.667
2022,30.607,14.618
2019,18.496,47.959
2017,15.995,121.855
2024,29.999,2.598
2015,16.888,48.416
2016,16.998,66.106
2021,22.999,21.713
2007,7.497,161.998
2016,7.999,208.88
2017,16.5,85.379
2013,10.995,102.085
2018,19.999,60.153
2019,20,67.87
2021,24.998,41.055
2018,15.999,93.707
2023,29.5,1.535
2020,20.989,39.748
2020,19,63.898
2023,24.693,23.01
2006,6,99.89
2021,20.995,30.22
2021,23.827,47.877
2017,17.692,76.779
2024,31.98,5.7
2023,24.694,43.924
2021,21.465,53.286
2021,20.9,51.879
2015,10.25,119.747
2017,14.927,127.812
2020,20.609,64.268
2023,25.157,12.077
2012,9.999,119.582
2021,26.455,21.106
2021,21.533,28.42
2016,17.95,83.16
2021,21.5,45.915
2018,17.997,78.661
2021,22.999,56.212
2016,10.998,140.2
2023,24.696,48.366
2022,24.984,20.491
2020,20.236,30.179
2021,22.956,57.215
2017,12.99,121.661
2020,21.99,36.601
2023,49.396,3.678
2024,32.157,3.27
2015,14.698,99.051
2018,14.299,154.841
2018,19.997,50.67
2018,39.62,4.528
2019,19.9,65.697
2023,26.996,24.38
2021,22.999,51.452
2016,16.489,150.533
2018,20.964,43.094
2020,19.888,53.736
2018,15.999,82.136
2022,25,19
2022,23.988,30.529
2012,10.995,131.278
2020,20.594,56.012
2015,15.999,95.928
2017,16.478,110.35
2020,19.224,61.719
2007,9.5,96.697
2021,23.927,50.23
2019,36.898,38.372
2020,19.651,20.814
2021,22.599,41.002
2019,23.5,53.546
2008,4,170
2017,15.395,99.221
2021,22.67,42.101
2020,22.971,46.212
2014,14.35,43
2021,21.358,113.191
2018,16.03,98.95
2023,26.509,16.521
2022,22.977,61.315
2012,9.85,138.525
2023,24.991,18.136
2016,16.896,65.849
2018,17.5,77.1
2022,23.5,23.178
2016,14.999,48
2022,23.67,13.9
2021,25.457,17.686
